"File Path: C:\Users\polpo\Desktop\EXPORT\Test Run 22\DAQ- Axial Force; … - (Timed).csv   "
"Test: Amortyzatory_1"
"Test Run: Test Run 22"
"Date: 16.03.2026 12:07:04"
""
""
"Axial Force ";"Axial Displacement ";"Running Time "
"kN";"mm";"sec"
"-0,0954870758056641";"-0,0606374451308511";"0,0419921875"
"-0,147421264648437";"-0,160490686539561";"0,1416015625"
"-0,190954528808594";"-0,260129541857168";"0,2412109375"
"-0,255690124511719";"-0,356085365638137";"0,3408203125"
"-0,268726989746094";"-0,455627567134798";"0,4404296875"
"-0,270310852050781";"-0,556869024876505";"0,5400390625"
"-0,263771026611328";"-0,656940741464496";"0,6396484375"
"-0,261210815429687";"-0,756210181862116";"0,7392578125"
"-0,258581909179687";"-0,8557831752114";"0,8388671875"
"-0,255522155761719";"-0,955068855546415";"0,9384765625"
"-0,259110229492187";"-1,0557109490037";"1,0380859375"
"-0,253887802124023";"-1,15417339839041";"1,1376953125"
"-0,254123092651367";"-1,25338044017553";"1,2373046875"
"-0,256057952880859";"-1,35482125915587";"1,3369140625"
"-0,25362548828125";"-1,45330000668764";"1,4365234375"
"-0,251089004516602";"-1,55453325714916";"1,5361328125"
"-0,249771530151367";"-1,65285635739565";"1,6357421875"
"-0,249362670898437";"-1,75175233744085";"1,7353515625"
"-0,252380722045898";"-1,85149058233947";"1,8349609375"
"-0,250596908569336";"-1,95062067359686";"1,9345703125"
"-0,255586303710937";"-2,0518486853689";"2,0341796875"
"-0,252460479736328";"-2,1516652777791";"2,1337890625"
"-0,249737258911133";"-2,25097220391035";"2,2333984375"
"-0,253556106567383";"-2,35070707276464";"2,3330078125"
"-0,252558074951172";"-2,44872481562197";"2,4326171875"
"-0,253748092651367";"-2,54943338222802";"2,5322265625"
"-0,247013732910156";"-2,64825997874141";"2,6318359375"
"-0,247413497924805";"-2,74851336143911";"2,7314453125"
"-0,252888442993164";"-2,84861004911363";"2,8310546875"
"-0,248843048095703";"-2,94861779548228";"2,9306640625"
"-0,250034576416016";"-3,04736662656069";"3,0302734375"
"-0,249175521850586";"-3,14781512133777";"3,1298828125"
"-0,249295028686523";"-3,24678770266473";"3,2294921875"
"-0,249261505126953";"-3,34779708646238";"3,3291015625"
"-0,248456619262695";"-3,44777409918606";"3,4287109375"
"-0,253543502807617";"-3,5474628675729";"3,5283203125"
"-0,245212554931641";"-3,64566734060645";"3,6279296875"
"-0,247594573974609";"-3,7457374855876";"3,7275390625"
"-0,248857009887695";"-3,84576036594808";"3,8271484375"
"-0,251775924682617";"-3,9463029243052";"3,9267578125"
"-0,247104370117187";"-4,04452346265316";"4,0263671875"
"-0,248595260620117";"-4,14422620087862";"4,1259765625"
"-0,248118469238281";"-4,24313172698021";"4,2255859375"
"-0,25226286315918";"-4,34464681893587";"4,3251953125"
"-0,255502944946289";"-4,44372184574604";"4,4248046875"
"-0,249104263305664";"-4,54246485605836";"4,5244140625"
"-0,251701080322266";"-4,64428635314107";"4,6240234375"
"-0,243133102416992";"-4,74168872460723";"4,7236328125"
"-0,253121887207031";"-4,84184501692653";"4,8232421875"
"-0,254064117431641";"-4,94244415313005";"4,9228515625"
"-0,252919143676758";"-5,04230195656419";"5,0224609375"
"-0,251437835693359";"-5,14130992814898";"5,1220703125"
"-0,249143524169922";"-5,24036213755608";"5,2216796875"
"-0,251786209106445";"-5,33994007855654";"5,3212890625"
"-0,250082290649414";"-5,43939648196101";"5,4208984375"
"-0,250680541992187";"-5,53898606449366";"5,5205078125"
"-0,250660720825195";"-5,63844759017229";"5,6201171875"
"-0,249608169555664";"-5,73781179264188";"5,7197265625"
"-0,252408004760742";"-5,83903398364782";"5,8193359375"
"-0,249651138305664";"-5,93730714172125";"5,9189453125"
"-0,246521469116211";"-6,03612745180726";"6,0185546875"
