"File Path: C:\Users\polpo\Desktop\EXPORT\Test Run 27\DAQ- Axial Force; … - (Timed).csv   "
"Test: Amortyzatory_1"
"Test Run: Test Run 27"
"Date: 16.03.2026 12:25:51"
""
""
"Axial Force ";"Axial Displacement ";"Running Time "
"kN";"mm";"sec"
"-0,19584733581543";"-9,0654855594039";"9,0458984375"
"-0,193806655883789";"-9,16467700153589";"9,1455078125"
"-0,19144270324707";"-9,26417298614979";"9,2451171875"
"-0,192935165405273";"-9,36380680650473";"9,3447265625"
"-0,1925244140625";"-9,46375820785761";"9,4443359375"
"-0,196944442749023";"-9,56368912011385";"9,5439453125"
"-0,194576354980469";"-9,66309383511543";"9,6435546875"
"-0,196360641479492";"-9,76284872740507";"9,7431640625"
"-0,194849945068359";"-9,86224040389061";"9,8427734375"
"-0,198898834228516";"-9,96204651892185";"9,9423828125"
"-0,194595458984375";"-10,0618619471788";"10,0419921875"
"-0,192247451782227";"-10,1607050746679";"10,1416015625"
"-0,195391326904297";"-10,2610075846314";"10,2412109375"
"-0,194789794921875";"-10,3594344109297";"10,3408203125"
"-0,196779937744141";"-10,4606039822102";"10,4404296875"
"-0,196247665405273";"-10,5596613138914";"10,5400390625"
"-0,197541687011719";"-10,6617948040366";"10,6396484375"
"-0,194673614501953";"-10,7592167332768";"10,7392578125"
"-0,194456420898438";"-10,8600808307528";"10,8388671875"
"-0,198116607666016";"-10,9603768214583";"10,9384765625"
"-0,19256315612793";"-11,0597731545568";"11,0380859375"
"-0,196093887329102";"-11,1580230295658";"11,1376953125"
"-0,198983673095703";"-11,2597504630685";"11,2373046875"
"-0,200847015380859";"-11,3599924370646";"11,3369140625"
"-0,197698028564453";"-11,4559773355722";"11,4365234375"
"-0,196355285644531";"-11,5573965013027";"11,5361328125"
"-0,193534042358398";"-11,6557264700532";"11,6357421875"
"-0,193124114990234";"-11,7548611015081";"11,7353515625"
"-0,200668151855469";"-11,8568371981382";"11,8349609375"
"-0,197137069702148";"-11,9545944035053";"11,9345703125"
"-0,191486206054687";"-12,0527679100633";"12,0341796875"
"-0,197616073608398";"-12,1531737968326";"12,1337890625"
"-0,200728302001953";"-12,2544644400477";"12,2333984375"
"-0,19967985534668";"-12,3544577509165";"12,3330078125"
"-0,196962036132812";"-12,4524608254433";"12,4326171875"
